function,rows,columns,str_len,repeat,times
apply_lambda_lower,1,1,16,1000,0.0008368650160264224
apply_lambda_lower,1,1,16,1000,0.0003601049829740077
apply_lambda_lower,1,1,16,1000,0.00026421601069159806
apply_lambda_lower,1,1,16,1000,0.00024611299159005284
apply_lambda_lower,1,1,16,1000,0.00023810798302292824
apply_lambda_lower,1,1,16,1000,0.00023807899560779333
apply_lambda_lower,1,1,16,1000,0.00021783501142635942
apply_lambda_lower,1,1,16,1000,0.00020488700829446316
apply_lambda_lower,1,1,16,1000,0.00020544999279081821
apply_lambda_lower,1,1,16,1000,0.00022596598137170076
apply_lambda_lower,1,1,16,1000,0.0002299229963682592
apply_lambda_lower,1,1,16,1000,0.0002310450072400272
apply_lambda_lower,1,1,16,1000,0.00022269898909144104
apply_lambda_lower,1,1,16,1000,0.0002023190027102828
apply_lambda_lower,1,1,16,1000,0.00020283498452045023
apply_lambda_lower,1,1,16,1000,0.00021044100867584348
apply_lambda_lower,1,1,16,1000,0.0004375569988042116
apply_lambda_lower,1,1,16,1000,0.00031309001496993005
apply_lambda_lower,1,1,16,1000,0.0002301270142197609
apply_lambda_lower,1,1,16,1000,0.00022737999097444117
apply_lambda_lower,1,1,16,1000,0.00020702998153865337
apply_lambda_lower,1,1,16,1000,0.0002274859871249646
apply_lambda_lower,1,1,16,1000,0.00021318398648872972
apply_lambda_lower,1,1,16,1000,0.00020515199867077172
apply_lambda_lower,1,1,16,1000,0.00020313801360316575
apply_lambda_lower,1,1,16,1000,0.00021584800560958683
apply_lambda_lower,1,1,16,1000,0.00021594201098196208
apply_lambda_lower,1,1,16,1000,0.00020873401081189513
apply_lambda_lower,1,1,16,1000,0.0001934839820023626
apply_lambda_lower,1,1,16,1000,0.00019201799295842648
apply_lambda_lower,1,1,16,1000,0.00019498300389386714
apply_lambda_lower,1,1,16,1000,0.00019249398610554636
apply_lambda_lower,1,1,16,1000,0.00019967998377978802
apply_lambda_lower,1,1,16,1000,0.00021645199740305543
apply_lambda_lower,1,1,16,1000,0.00021673200535587966
apply_lambda_lower,1,1,16,1000,0.00021717901108786464
apply_lambda_lower,1,1,16,1000,0.00021573499543592334
apply_lambda_lower,1,1,16,1000,0.00021413102513179183
apply_lambda_lower,1,1,16,1000,0.00021506298799067736
apply_lambda_lower,1,1,16,1000,0.0002569050120655447
apply_lambda_lower,1,1,16,1000,0.00023344301735050976
apply_lambda_lower,1,1,16,1000,0.0002205299970228225
apply_lambda_lower,1,1,16,1000,0.00021746501442976296
apply_lambda_lower,1,1,16,1000,0.00021728299907408655
apply_lambda_lower,1,1,16,1000,0.00021410098997876048
apply_lambda_lower,1,1,16,1000,0.00020440298249013722
apply_lambda_lower,1,1,16,1000,0.0002043959975708276
apply_lambda_lower,1,1,16,1000,0.0001970080193132162
apply_lambda_lower,1,1,16,1000,0.00019497799803502858
apply_lambda_lower,1,1,16,1000,0.00019431900000199676
apply_lambda_lower,1,1,16,1000,0.00019265798619017005
apply_lambda_lower,1,1,16,1000,0.00019212599727325141
apply_lambda_lower,1,1,16,1000,0.0001928000128827989
apply_lambda_lower,1,1,16,1000,0.0001933610183186829
apply_lambda_lower,1,1,16,1000,0.00019327999325469136
apply_lambda_lower,1,1,16,1000,0.00019067601533606648
apply_lambda_lower,1,1,16,1000,0.00020251897512935102
apply_lambda_lower,1,1,16,1000,0.00020279802265577018
apply_lambda_lower,1,1,16,1000,0.00020189202041365206
apply_lambda_lower,1,1,16,1000,0.00021351000759750605
apply_lambda_lower,1,1,16,1000,0.00020666501950472593
apply_lambda_lower,1,1,16,1000,0.00020573101937770844
apply_lambda_lower,1,1,16,1000,0.0002043209969997406
apply_lambda_lower,1,1,16,1000,0.00020890397718176246
apply_lambda_lower,1,1,16,1000,0.00033054398954845965
apply_lambda_lower,1,1,16,1000,0.00024359000963158906
apply_lambda_lower,1,1,16,1000,0.0002068710164166987
apply_lambda_lower,1,1,16,1000,0.0002033960190601647
apply_lambda_lower,1,1,16,1000,0.00020319499890320003
apply_lambda_lower,1,1,16,1000,0.00020371199934743345
apply_lambda_lower,1,1,16,1000,0.0002137889969162643
apply_lambda_lower,1,1,16,1000,0.00021503001335076988
apply_lambda_lower,1,1,16,1000,0.00021345799905247986
apply_lambda_lower,1,1,16,1000,0.00021735701011493802
apply_lambda_lower,1,1,16,1000,0.00020664100884459913
apply_lambda_lower,1,1,16,1000,0.00020466599380597472
apply_lambda_lower,1,1,16,1000,0.00020280698663555086
apply_lambda_lower,1,1,16,1000,0.00021256899344734848
apply_lambda_lower,1,1,16,1000,0.0002056070079561323
apply_lambda_lower,1,1,16,1000,0.00020397998741827905
apply_lambda_lower,1,1,16,1000,0.0002017559891100973
apply_lambda_lower,1,1,16,1000,0.00020700297318398952
apply_lambda_lower,1,1,16,1000,0.00020265902276150882
apply_lambda_lower,1,1,16,1000,0.00020346001838333905
apply_lambda_lower,1,1,16,1000,0.00020261798636056483
apply_lambda_lower,1,1,16,1000,0.0002034030039794743
apply_lambda_lower,1,1,16,1000,0.00020031098392792046
apply_lambda_lower,1,1,16,1000,0.00020139699336141348
apply_lambda_lower,1,1,16,1000,0.00028468400705605745
apply_lambda_lower,1,1,16,1000,0.00021262100199237466
